name,total_price_in_state,total_price_out_of_state,percent_admitted,yield,total_applicants,act_low,act_high,act_range,city,state,zip,address,longitude,latitude,affiliation,six_year_grad_rate,total_enrollment,website,phone_number,financial_aid_address,admissions_address,application_address,net_price_calculator,average_price_after_financial_aid,average_price_if_less_than_30000,average_price_if_less_than_48000,average_price_if_less_than_75000,average_price_if_less_than_110000,average_price_if_greater_than_110000,ncaa_membership,football_team?,basketball_team?,baseball_team?,cross_country_team?
Abilene Christian University,44740,44740,50,21,9384,21,27,21 - 27,Abilene,TX,79699,,-99.70954,32.46915,private_non_profit,59,4427,www.acu.edu,3256742000,www.acu.edu/campusoffices/sfs/index.html,www.acu.edu/admissions,www.acuadmissions.org/start/apply.htm,www.acu.edu/campusoffices/sfs/calculator/freshman.html,23949,19356,19996,21339,24399,27895,Yes,Yes,Yes,Yes,Yes
Academy of Art University,40204,40204,,,, , , - ,San Francisco,CA,94105,79 New Montgomery,-122.400686,37.787748,private_for_profit,32,15212,www.academyart.edu,8005442787,www.academyart.edu/finances/financial-aid-office,www.academyart.edu/admissions,www.academyart.edu/admissions/apply,https://npc.collegeboard.org/student/app/academyart,28877,29345,30364,31661,34385,35362,Yes,No,Yes,Yes,Yes
Academy of Couture Art,,,100,33,12, , , - ,Beverly Hills,CA,90211,8484 Wilshire Blvd Suite #730,-118.375621,34.06463,private_for_profit,,22,www.academyofcoutureart.edu/,3103608888,,,,academyofcoutureart.edu/NetPrice/npcalc.htm,28945,,28945,,,,No,No,No,No,No
Adams State University,21726,32238,65,27,2832,17,23,17 - 23,Alamosa,CO,81101,208 Edgemont Blvd,-105.880943,37.477238,public,25,3154,www.adams.edu,7195877011,www.adams.edu/finaid,www.adams.edu/admissions/,https://www.adams.edu/admissions/apply_online.php,www.adams.edu/finaid/costs-to-attend.php,,,,,,,Yes,Yes,Yes,Yes,Yes
Adelphi University,51708,51708,72,15,8806,19,24,19 - 24,Garden City,NY,11530-0701,South Ave,-73.653321,40.721439,private_non_profit,66,7610,www.adelphi.edu/,5168773000,ecampus.adelphi.edu/sfs/,admissions.adelphi.edu/,admissions.adelphi.edu/onlineapp.php,https://class.adelphi.edu/cgi-bin/wwiz.asp?wwizmstr=WEB.NPC.WRAP,25441,22197,23981,32959,42286,43018,Yes,No,Yes,Yes,Yes
Adrian College,48906,48906,62,15,5153,19,24,19 - 24,Adrian,MI,49221-2575,110 S Madison St,-84.059947,41.898449,private_non_profit,59,1641,www.adrian.edu,5172655161,adrian.edu/admissions/financial-aid/,adrian.edu/admissions/,apply.adrian.edu/,adrian.edu/admissions/financial-aid/net-price-calculator,21962,18230,19653,19783,22868,27965,Yes,Yes,Yes,Yes,Yes
Adventist University of Health Sciences,25944,25944,100,75,118,18,21,18 - 21,Orlando,FL,32803,671 Winyah Drive,-81.367687,28.576142,private_non_profit,50,2090,www.adu.edu,4073037742,www.adu.edu/financial-information,www.adu.edu/admissions,https://www.adu.edu/apply,npc.collegeboard.org/student/app/fhchs,16557,15592,15660,18969,19301,20344,No,No,No,No,No
Agnes Scott College,50386,50386,68,24,1394, , , - ,Decatur,GA,30030-3770,141 E. College Ave.,-84.29563,33.769996,private_non_profit,64,873,www.agnesscott.edu,4044716000,www.agnesscott.edu/admission/financial-aid,www.agnesscott.edu/admission,apply.commonapp.org/Login,www.collegecostcalculator.org/agnesscott,20378,16596,16960,18145,21442,22059,Yes,No,Yes,No,Yes
AI Miami International University of Art and Design,31914,31914,,,, , , - ,Miami,FL,33132-1418,1501 Biscayne Boulevard,-80.18839,25.790008,private_for_profit,40,2846,www.artinstitutes.edu/miami/,3054285700,www.artinstitutes.edu/miami/financial-aid/,www.artinstitutes.edu/miami/Admissions/,https://www.applyweb.com/apply/ifa/,tcc.noellevitz.com/edmc/Freshman-Students Net Price Calculator,24527,22942,24129,26678,27326,27923,No,No,No,No,No
AIB College of Business,23988,23988,59,54,461, , , - ,Des Moines,IA,50321-1799,2500 Fleur Drive,-93.645694,41.561953,private_non_profit,,1014,www.aib.edu,5152444221,www.aib.edu/admissions/financial-aid-scholarships/,www.aib.edu/admissions/,https://forms.aib.edu/lincdoc/doc/run/aib/admitapp?inquryoradmission=Admission,aib.edu/admissions/financial-aid-scholarships/net-price-calculator,12440,11192,11217,12733,14477,16870,No,No,No,No,No
